,total_consumption,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions_clear,conditions_overcast,conditions_partiallycloudy,conditions_rain,conditions_rainovercast,conditions_rainpartiallycloudy,conditions_snowovercast,conditions_snowpartiallycloudy,conditions_snowrain,conditions_snowrainovercast,conditions_snowrainpartiallycloudy,day_length,is_holiday
2006-12-27,1528.76,178.902,351025.0,6505.2,0.0,314.0,6976.0,0.3,-0.1,0.1,0.0,-3.1,-2.2,-1.9,86.7,0.0,0,0.0,0.0,0.0,21.1,9.6,209.4,1032.0,100.0,8.0,0.25,False,True,False,False,False,False,False,False,False,False,False,8.278611111111111,False
2006-12-28,2072.638,208.876,350306.4,8764.2,2207.0,4419.0,9176.0,-0.3,-2.9,-1.2,-1.4,-6.8,-4.1,-2.5,91.4,0.0,0,0.0,0.0,0.0,18.4,10.0,167.2,1029.4,100.0,3.2,0.28,False,True,False,False,False,False,False,False,False,False,False,8.288055555555555,False
2006-12-29,3174.392,196.394,346854.68,13350.8,1252.0,5162.0,11329.0,6.9,-3.2,1.6,4.3,-7.0,-1.6,-1.7,80.1,0.0,0,0.0,0.0,0.0,30.6,17.0,169.4,1023.8,88.7,8.5,0.32,False,False,True,False,False,False,False,False,False,False,False,8.299166666666666,False
2006-12-30,2789.302,311.928,345897.51,11924.2,3072.0,7891.0,12480.0,11.8,6.4,8.7,11.8,3.1,6.1,5.2,78.9,5.492,100,41.67,0.0,0.0,79.8,38.9,196.4,1019.7,89.6,15.5,0.35,False,False,False,False,False,True,False,False,False,False,False,8.311666666666667,False
2006-12-31,3494.196,150.852,345451.07,14687.4,0.0,347.0,6502.0,12.9,7.2,9.8,12.9,4.3,8.3,7.8,87.7,5.127,100,25.0,0.0,0.0,68.4,31.5,206.3,1026.2,68.0,15.7,0.39,False,False,False,False,False,True,False,False,False,False,False,8.325833333333334,False
2007-01-01,2749.004,148.166,345785.73,11400.4,0.0,352.0,5880.0,13.7,5.9,9.9,13.7,1.9,8.5,5.5,74.7,10.337,100,37.5,0.0,0.0,78.0,32.8,236.9,1020.0,75.2,19.8,0.42,False,False,False,False,False,True,False,False,False,False,False,8.341666666666667,True
2007-01-02,1269.236,190.342,348399.04,5348.2,0.0,348.0,6562.0,7.9,4.9,6.6,5.3,1.2,3.1,3.2,79.3,2.513,100,41.67,0.0,0.0,61.9,31.0,272.4,1026.2,62.6,22.6,0.46,False,False,False,False,False,True,False,False,False,False,False,8.358611111111111,False
2007-01-03,1014.054,196.728,350722.21,4340.2,0.0,344.0,4765.0,7.7,4.5,6.4,5.1,2.3,3.8,4.3,86.2,0.038,100,4.17,0.0,0.0,39.8,21.0,210.1,1029.8,86.8,16.2,0.5,False,False,False,False,False,True,False,False,False,False,False,8.377222222222223,False
2007-01-04,3259.412,202.302,345240.43,13648.6,1051.0,7597.0,10896.0,10.8,7.3,9.1,10.8,3.5,7.0,5.9,81.0,2.118,100,25.0,0.0,0.0,46.7,24.8,242.4,1017.8,88.5,17.6,0.53,False,False,False,False,False,True,False,False,False,False,False,8.397222222222222,False
2007-01-05,2713.364,173.154,346313.9,11354.6,1483.0,379.0,7602.0,11.1,8.5,9.6,11.1,6.2,8.4,7.1,84.6,0.266,100,8.33,0.0,0.0,38.9,19.3,223.2,1023.1,93.1,18.1,0.56,False,False,False,False,True,False,False,False,False,False,False,8.419166666666667,False
2007-01-06,1508.378,192.188,345129.2,6543.2,1336.0,402.0,5678.0,12.4,8.8,11.4,12.4,6.1,11.2,9.6,88.8,1.333,100,37.5,0.0,0.0,57.4,32.5,219.4,1019.5,92.9,14.1,0.59,False,False,False,False,True,False,False,False,False,False,False,8.441944444444445,False
2007-01-07,2447.62,246.074,346899.58,10487.0,1987.0,8177.0,12810.0,10.2,5.0,7.9,10.2,2.2,5.6,5.7,85.9,0.075,100,4.17,0.0,0.0,38.1,20.4,202.0,1019.1,70.4,21.6,0.62,False,False,False,False,False,True,False,False,False,False,False,8.466111111111111,False
2007-01-08,2241.36,207.568,344990.81,9434.4,0.0,467.0,17547.0,12.9,9.8,10.8,12.9,7.1,10.7,8.6,86.3,0.905,100,29.17,0.0,0.0,51.2,25.6,210.5,1008.4,96.9,16.5,0.66,False,False,False,False,True,False,False,False,False,False,False,8.491944444444444,False
2007-01-09,1869.054,207.248,346302.03,7950.4,1688.0,4267.0,9790.0,13.8,11.2,12.6,13.8,11.2,12.6,10.0,84.1,0.296,100,12.5,0.0,0.0,44.8,23.9,213.9,1014.9,84.4,19.3,0.69,False,False,False,False,False,True,False,False,False,False,False,8.518888888888888,False
2007-01-10,2154.8,228.452,347079.53,9155.2,771.0,4456.0,11012.0,12.6,5.8,10.0,12.6,2.9,9.3,7.0,81.5,1.312,100,8.33,0.0,0.0,53.6,26.2,215.0,1018.5,69.9,23.2,0.72,False,False,False,False,False,True,False,False,False,False,False,8.547222222222222,False
2007-01-11,2255.194,230.02,347264.19,9588.0,1378.0,2170.0,12415.0,11.2,4.1,7.8,11.2,1.3,5.6,5.1,83.4,2.093,100,16.67,0.0,0.0,66.1,33.2,225.0,1022.1,68.5,20.8,0.75,False,False,False,False,False,True,False,False,False,False,False,8.576944444444445,False
2007-01-12,1461.296,199.14,347815.02,6205.2,0.0,439.0,8276.0,12.3,6.8,10.0,12.3,4.7,9.0,7.1,82.4,0.0,0,0.0,0.0,0.0,46.4,22.5,235.8,1028.0,78.5,16.6,0.78,False,False,True,False,False,False,False,False,False,False,False,8.608055555555556,False
2007-01-13,3186.814,290.736,344568.4,13612.4,7806.0,2975.0,11341.0,12.2,9.9,10.9,12.2,8.8,10.9,8.9,87.4,0.055,100,8.33,0.0,0.0,38.9,21.2,219.0,1025.2,96.8,19.9,0.82,False,False,False,False,True,False,False,False,False,False,False,8.64,False
2007-01-14,3007.816,227.12,343664.64,12905.4,1777.0,4215.0,12975.0,10.9,3.9,8.1,10.9,2.9,7.4,4.8,80.4,0.083,100,4.17,0.0,0.0,35.5,19.8,247.7,1030.5,47.7,18.1,0.85,False,False,False,False,False,True,False,False,False,False,False,8.673333333333334,False
2007-01-15,2148.678,174.86,347386.91,9016.6,1099.0,2239.0,15163.0,8.4,1.7,5.1,7.0,0.0,3.7,3.2,87.4,0.0,0,0.0,0.0,0.0,24.6,12.0,165.6,1027.2,54.8,13.2,0.88,False,False,True,False,False,False,False,False,False,False,False,8.707777777777778,False
2007-01-16,1686.404,185.428,348400.45,7165.4,2063.0,644.0,6583.0,9.4,5.9,7.6,7.4,3.4,5.7,5.6,87.0,0.009,100,4.17,0.0,0.0,34.6,16.6,187.2,1020.9,95.3,10.9,0.91,False,False,False,False,True,False,False,False,False,False,False,8.743333333333334,False
2007-01-17,2847.688,200.752,347047.56,11928.8,3500.0,5737.0,16064.0,12.7,9.0,11.1,12.7,6.7,10.7,9.2,88.5,4.099,100,29.17,0.0,0.0,66.2,31.4,203.8,1015.8,96.4,10.3,0.95,False,False,False,False,True,False,False,False,False,False,False,8.78,False
2007-01-18,1821.462,177.712,346886.78,7693.2,0.0,336.0,13491.0,14.8,11.4,13.4,14.8,11.4,13.4,11.0,85.3,3.375,100,50.0,0.0,0.0,82.1,44.4,225.8,1008.0,96.0,14.3,0.98,False,False,False,False,True,False,False,False,False,False,False,8.817777777777778,False
2007-01-19,1480.44,170.052,345831.76,6301.8,2103.0,330.0,7172.0,14.6,12.7,13.4,14.6,12.7,13.4,11.2,86.7,0.826,100,37.5,0.0,0.0,57.2,29.2,240.5,1020.1,96.3,15.9,0.0,False,False,False,False,True,False,False,False,False,False,False,8.856666666666667,False
2007-01-20,3133.732,238.362,343969.16,13461.2,4324.0,5222.0,11440.0,13.7,8.1,11.6,13.7,5.6,11.2,8.6,81.6,2.818,100,33.33,0.0,0.0,57.9,29.6,232.4,1019.0,92.7,18.9,0.05,False,False,False,False,True,False,False,False,False,False,False,8.896666666666667,False
2007-01-21,3407.262,229.736,344114.09,14674.6,10346.0,5567.0,11599.0,9.8,4.4,7.0,6.9,2.1,3.9,2.9,75.3,0.17,100,4.17,0.0,0.0,54.1,25.7,234.2,1017.8,43.6,23.3,0.08,False,False,False,False,False,True,False,False,False,False,False,8.9375,False
2007-01-22,2180.494,168.642,347908.51,9151.6,1054.0,2983.0,11361.0,7.5,2.3,4.7,7.0,0.4,2.8,2.4,85.2,0.0,0,0.0,0.0,0.0,45.5,28.3,81.9,1014.2,78.0,17.1,0.12,False,False,True,False,False,False,False,False,False,False,False,8.979166666666666,False
2007-01-23,1777.64,138.28,349578.08,7575.6,0.0,1064.0,5061.0,4.9,0.0,1.6,0.0,-6.6,-4.4,-8.2,51.1,0.0,0,0.0,0.0,0.0,74.9,35.0,14.8,1010.7,85.8,20.8,0.15,False,False,True,False,False,False,False,False,False,False,False,9.021666666666667,False
2007-01-24,2987.854,178.06,347699.08,12576.4,3464.0,2480.0,11744.0,2.9,-0.3,1.1,0.2,-5.3,-2.5,-1.5,83.0,0.599,100,16.67,0.0,0.0,43.9,20.0,349.4,1009.6,70.8,14.5,0.19,False,False,False,False,False,False,False,False,False,False,True,9.065277777777778,False
2007-01-25,1596.344,144.16,350531.08,6666.2,1158.0,262.0,11239.0,-0.3,-2.5,-1.3,-4.7,-8.7,-6.7,-5.5,73.6,0.0,0,0.0,0.0,0.0,46.2,26.1,31.7,1019.8,49.4,10.5,0.22,False,False,True,False,False,False,False,False,False,False,False,9.109722222222222,False
2007-01-26,1617.972,142.902,349591.38,6798.8,1163.0,261.0,8238.0,2.4,-4.2,-0.6,-0.5,-7.8,-3.7,-5.0,72.6,0.0,0,0.0,0.0,0.0,28.2,14.2,269.2,1025.5,57.8,9.8,0.25,False,False,True,False,False,False,False,False,False,False,False,9.155,False
2007-01-27,2044.072,148.242,347927.86,8567.8,1170.0,3896.0,12374.0,7.6,2.3,4.3,6.5,-0.9,2.1,1.7,83.3,0.0,0,0.0,0.0,0.0,25.9,11.9,286.3,1031.1,65.2,8.8,0.29,False,False,True,False,False,False,False,False,False,False,False,9.20111111111111,False
2007-01-28,3090.204,153.352,345798.59,13143.4,3466.0,3997.0,12045.0,6.5,1.6,4.3,4.0,-1.0,1.8,1.9,85.3,0.0,0,0.0,0.0,0.0,36.8,19.4,249.4,1032.2,81.7,10.2,0.33,False,False,True,False,False,False,False,False,False,False,False,9.247777777777777,False
2007-01-29,1982.664,165.696,346938.62,8336.0,1123.0,294.0,15254.0,9.5,5.0,6.8,9.5,2.7,5.4,4.1,83.4,0.058,100,4.17,0.0,0.0,25.0,14.0,316.2,1026.8,85.1,13.9,0.37,False,False,False,False,False,True,False,False,False,False,False,9.295277777777779,False
2007-01-30,1707.798,180.934,348250.86,7240.6,1123.0,1424.0,8149.0,8.7,5.0,7.6,7.0,4.9,6.0,5.0,84.3,0.0,0,0.0,0.0,0.0,23.7,13.1,39.5,1025.4,96.2,8.0,0.4,False,True,False,False,False,False,False,False,False,False,False,9.34361111111111,False
2007-01-31,2363.752,185.988,345486.43,9970.0,0.0,5950.0,15052.0,8.8,5.4,7.5,8.0,3.4,6.3,3.2,74.4,0.0,0,0.0,0.0,0.0,25.9,12.9,289.9,1025.0,93.2,14.4,0.44,False,True,False,False,False,False,False,False,False,False,False,9.392222222222221,False
2007-02-01,1824.76,150.264,346164.68,7678.8,1170.0,386.0,13145.0,10.9,6.0,8.6,10.9,3.7,7.8,6.4,86.5,0.0,0,0.0,0.0,0.0,25.4,10.5,304.7,1028.9,95.5,8.3,0.47,False,True,False,False,False,False,False,False,False,False,False,9.441666666666666,False
2007-02-02,1667.736,139.542,346081.52,7014.0,0.0,356.0,11338.0,10.1,8.8,9.6,10.1,6.6,8.8,8.1,90.5,0.086,100,12.5,0.0,0.0,30.5,15.1,9.7,1031.7,98.5,4.3,0.5,False,False,False,False,True,False,False,False,False,False,False,9.491944444444444,False
2007-02-03,4029.722,245.824,344030.68,17015.0,4746.0,4573.0,17834.0,9.9,4.3,7.1,6.8,0.0,3.7,2.5,73.6,0.0,0,0.0,0.0,0.0,46.0,26.7,40.8,1034.3,28.3,14.9,0.54,False,False,True,False,False,False,False,False,False,False,False,9.542777777777777,False
2007-02-04,3595.94,186.494,345072.0,15214.2,3391.0,4597.0,14472.0,10.5,3.2,5.9,10.5,-0.7,3.6,1.8,75.7,0.0,0,0.0,0.0,0.0,41.2,20.0,58.8,1027.5,18.2,15.2,0.57,True,False,False,False,False,False,False,False,False,False,False,9.59388888888889,False
2007-02-05,1645.28,147.228,346766.85,6941.4,896.0,2564.0,7849.0,6.1,4.3,5.4,5.1,2.3,3.4,2.7,82.6,0.0,0,0.0,0.0,0.0,29.7,13.2,244.4,1017.1,94.7,9.5,0.6,False,True,False,False,False,False,False,False,False,False,False,9.645833333333334,False
2007-02-06,1273.48,142.566,347420.39,5431.6,1185.0,405.0,4517.0,6.8,4.0,5.2,5.1,1.0,3.8,2.4,82.5,0.0,0,0.0,0.0,0.0,23.5,14.1,249.3,1006.5,95.5,6.1,0.64,False,True,False,False,False,False,False,False,False,False,False,9.698055555555555,False
2007-02-07,2328.018,177.708,347255.56,9780.0,3299.0,3513.0,11986.0,3.4,0.4,2.0,1.6,-4.3,-1.2,-0.4,84.3,0.952,100,16.67,0.0,0.0,30.3,17.6,46.8,999.7,89.6,9.3,0.67,False,False,False,False,False,False,False,False,False,False,True,9.751111111111111,False
2007-02-08,1801.414,138.896,348188.12,7557.6,2226.0,366.0,10157.0,10.2,1.6,6.2,10.2,-1.5,3.1,2.3,77.8,4.959,100,37.5,0.0,0.0,78.8,31.9,218.2,994.2,73.2,15.9,0.7,False,False,False,False,False,False,False,False,False,False,True,9.804444444444444,False
2007-02-09,1620.198,158.066,348106.24,6807.2,0.0,3045.0,9770.0,9.4,3.3,6.1,7.3,1.2,4.2,4.2,87.8,2.468,100,12.5,0.0,0.0,32.2,18.1,167.4,1002.1,77.9,14.2,0.73,False,False,False,False,False,True,False,False,False,False,False,9.858333333333333,False
2007-02-10,2829.328,192.974,345653.03,11957.4,5071.0,2831.0,14405.0,12.0,5.5,8.3,12.0,2.2,6.4,5.7,84.5,2.881,100,25.0,0.0,0.0,43.9,23.7,205.8,1002.5,81.1,16.6,0.75,False,False,False,False,False,True,False,False,False,False,False,9.9125,False
2007-02-11,3571.228,204.314,344888.85,15158.6,2430.0,4765.0,13114.0,12.9,8.5,9.8,12.9,5.2,7.9,6.4,80.2,15.207,100,54.17,0.0,0.0,81.3,40.3,219.4,1000.7,81.8,12.2,0.8,False,False,False,False,False,True,False,False,False,False,False,9.966944444444444,False
2007-02-12,1877.61,136.704,345741.84,7925.0,2227.0,399.0,11517.0,11.3,7.7,9.5,11.3,4.1,7.5,5.9,79.0,5.313,100,37.5,0.0,0.0,76.4,36.4,226.3,996.2,92.3,16.4,0.83,False,False,False,False,True,False,False,False,False,False,False,10.022222222222222,False
2007-02-13,1414.546,134.678,347280.27,5967.0,0.0,2828.0,6256.0,10.2,7.1,8.6,10.2,4.3,6.1,3.9,72.8,0.373,100,12.5,0.0,0.0,53.2,25.7,236.2,1010.3,84.1,21.8,0.86,False,False,False,False,False,True,False,False,False,False,False,10.0775,False
2007-02-14,2498.672,202.506,346140.56,10533.8,3295.0,3793.0,11579.0,10.9,6.3,8.3,10.9,2.7,5.6,6.1,86.2,10.885,100,58.33,0.0,0.0,66.5,30.3,218.5,1003.5,90.5,13.9,0.9,False,False,False,False,True,False,False,False,False,False,False,10.133055555555556,False
2007-02-15,1985.346,165.964,346563.68,8381.2,0.0,2363.0,14028.0,10.0,1.9,6.0,7.7,-0.1,3.9,2.4,78.5,0.0,0,0.0,0.0,0.0,35.0,19.5,166.6,1020.8,38.8,15.6,0.93,False,False,True,False,False,False,False,False,False,False,False,10.189444444444444,False
2007-02-16,1702.528,151.686,346782.16,7267.0,1148.0,859.0,8689.0,12.4,3.1,7.4,12.4,-0.5,5.5,2.1,69.8,0.0,0,0.0,0.0,0.0,35.7,17.8,116.6,1012.9,68.9,18.6,0.96,False,False,True,False,False,False,False,False,False,False,False,10.245555555555555,False
2007-02-17,2076.912,238.968,344615.09,8826.0,1765.0,2226.0,7157.0,17.3,6.1,10.9,17.3,4.3,10.0,2.7,57.7,0.0,0,0.0,0.0,0.0,27.3,14.4,166.7,1010.0,74.1,21.5,0.0,False,False,True,False,False,False,False,False,False,False,False,10.3025,False
2007-02-18,3829.762,255.522,344405.96,16184.0,6107.0,8003.0,13129.0,15.7,6.7,10.6,15.7,5.6,10.3,5.7,72.7,0.0,0,0.0,0.0,0.0,22.8,12.0,331.6,1015.4,49.0,15.2,0.03,False,False,True,False,False,False,False,False,False,False,False,10.359444444444444,False
2007-02-19,2186.614,176.584,345297.0,9276.8,1634.0,2900.0,13085.0,9.5,5.8,7.2,8.9,3.9,6.0,5.7,90.7,0.0,0,0.0,0.0,0.0,24.2,13.5,162.2,1013.1,77.6,4.9,0.06,False,False,True,False,False,False,False,False,False,False,False,10.416666666666666,False
2007-02-20,3149.928,187.158,345406.24,13202.6,2058.0,5191.0,9713.0,13.5,3.8,8.5,13.5,2.1,7.8,5.2,80.6,0.0,0,0.0,0.0,0.0,23.5,11.7,151.1,1009.1,75.1,10.6,0.1,False,False,True,False,False,False,False,False,False,False,False,10.473888888888888,False
2007-02-21,2072.874,189.87,346263.79,8747.2,3527.0,2332.0,11548.0,12.5,6.8,9.8,12.5,5.1,8.9,5.5,75.4,0.629,100,16.67,0.0,0.0,42.6,21.6,217.8,1011.1,74.0,15.4,0.13,False,False,False,False,False,True,False,False,False,False,False,10.531666666666666,False
2007-02-22,3369.478,137.954,343140.65,14194.2,1409.0,4129.0,12251.0,12.1,3.7,7.6,12.1,1.4,5.8,4.8,83.1,0.372,100,8.33,0.0,0.0,36.0,19.6,174.6,1009.5,65.0,17.5,0.17,False,False,False,False,False,True,False,False,False,False,False,10.589722222222223,False
2007-02-23,1313.48,149.344,346587.79,5508.6,0.0,503.0,10786.0,11.0,7.2,9.2,11.0,5.2,7.5,6.7,84.8,0.277,100,12.5,0.0,0.0,42.5,23.0,185.7,1005.8,79.8,13.9,0.2,False,False,False,False,False,True,False,False,False,False,False,10.647777777777778,False
2007-02-24,714.922,122.202,345402.87,3003.6,0.0,363.0,3562.0,12.0,9.3,10.4,12.0,6.4,9.2,7.1,80.3,2.4,100,41.67,0.0,0.0,53.4,27.2,212.7,1000.4,90.1,18.1,0.25,False,False,False,False,True,False,False,False,False,False,False,10.706111111111111,False
2007-02-25,501.74,113.736,348021.43,2105.6,0.0,329.0,1660.0,10.5,6.2,8.3,10.5,2.7,5.3,5.6,83.2,3.448,100,41.67,0.0,0.0,78.0,33.7,235.7,999.8,85.9,18.2,0.27,False,False,False,False,False,True,False,False,False,False,False,10.764722222222222,False
2007-02-26,568.484,108.28,347433.97,2388.8,0.0,331.0,2830.0,11.5,6.7,8.7,11.5,4.4,6.5,4.9,78.0,2.391,100,37.5,0.0,0.0,50.5,24.8,281.6,1013.5,79.3,18.1,0.31,False,False,False,False,False,True,False,False,False,False,False,10.823333333333334,False
2007-02-27,518.112,113.204,349839.75,2195.4,0.0,314.0,1924.0,12.6,5.4,8.7,12.6,3.0,7.1,6.9,88.6,0.301,100,16.67,0.0,0.0,52.3,24.0,219.1,1015.3,89.6,15.9,0.34,False,False,False,False,False,True,False,False,False,False,False,10.882222222222222,False
2007-02-28,520.774,113.372,348709.81,2201.0,0.0,340.0,1973.0,12.5,9.3,10.7,12.5,6.5,10.2,7.7,81.8,3.099,100,29.17,0.0,0.0,65.1,30.7,227.4,1004.9,83.3,21.6,0.38,False,False,False,False,False,True,False,False,False,False,False,10.94111111111111,False
2007-03-01,517.564,107.628,347502.82,2172.8,0.0,316.0,1980.0,11.4,8.4,9.9,11.4,5.6,8.4,6.2,78.2,13.345,100,41.67,0.0,0.0,74.3,36.5,240.7,998.8,86.4,16.9,0.41,False,False,False,False,False,True,False,False,False,False,False,11.000277777777777,False
2007-03-02,515.688,107.008,346451.9,2169.8,0.0,340.0,1969.0,11.9,4.0,7.9,11.9,1.1,6.1,5.3,84.4,2.224,100,20.83,0.0,0.0,43.0,22.4,207.2,1007.0,68.0,14.8,0.45,False,False,False,False,False,True,False,False,False,False,False,11.059444444444445,False
2007-03-03,819.122,134.992,347454.84,3457.6,0.0,347.0,4597.0,13.0,7.5,10.9,13.0,6.0,10.4,5.4,70.1,1.378,100,20.83,0.0,0.0,68.2,31.9,253.7,1009.2,71.4,25.9,0.48,False,False,False,False,False,True,False,False,False,False,False,11.11888888888889,False
2007-03-04,2090.7,175.682,345642.91,8867.8,1476.0,8711.0,9408.0,15.5,4.9,10.6,15.5,2.7,9.9,6.2,76.0,0.0,0,0.0,0.0,0.0,42.5,23.4,155.3,1013.2,61.8,21.5,0.5,False,False,True,False,False,False,False,False,False,False,False,11.178333333333333,False
2007-03-05,2660.332,205.956,345644.51,11290.0,5727.0,12109.0,10026.0,13.1,7.7,10.6,13.1,4.7,9.4,5.0,69.7,1.718,100,16.67,0.0,0.0,64.8,28.5,217.4,1016.0,59.8,23.9,0.55,False,False,False,False,False,True,False,False,False,False,False,11.237777777777778,False
2007-03-06,1246.5,186.148,347022.82,5321.8,0.0,1740.0,4700.0,9.9,7.7,9.0,6.6,4.9,5.7,5.8,80.6,6.473,100,45.83,0.0,0.0,64.6,32.4,191.7,1007.7,93.2,14.9,0.58,False,False,False,False,True,False,False,False,False,False,False,11.2975,False
2007-03-07,2375.206,171.2,346065.93,9986.4,1076.0,4761.0,15513.0,11.6,5.9,9.0,11.6,3.1,7.4,4.2,73.6,0.088,100,8.33,0.0,0.0,31.7,20.6,216.4,1003.7,70.2,18.5,0.62,False,False,False,False,False,True,False,False,False,False,False,11.3575,False
2007-03-08,1572.132,187.404,346558.21,6717.8,2180.0,3385.0,6655.0,13.0,3.6,8.1,13.0,1.3,6.9,3.5,74.2,0.0,0,0.0,0.0,0.0,31.5,13.9,283.9,1021.3,47.1,18.4,0.65,False,False,True,False,False,False,False,False,False,False,False,11.417222222222222,False
2007-03-09,1272.612,119.238,346879.39,5373.0,1093.0,345.0,8631.0,12.0,6.4,8.2,12.0,3.5,6.5,4.0,76.4,0.83,100,12.5,0.0,0.0,63.4,32.4,272.3,1028.6,60.9,18.3,0.68,False,False,False,False,False,True,False,False,False,False,False,11.477222222222222,False
2007-03-10,2484.712,243.528,345316.08,10572.4,4130.0,5422.0,10979.0,13.7,3.6,8.4,13.7,1.3,7.3,2.8,70.2,0.0,0,0.0,0.0,0.0,23.4,12.7,298.4,1037.9,24.3,18.3,0.71,False,False,True,False,False,False,False,False,False,False,False,11.537222222222223,False
2007-03-11,3480.636,173.374,345610.5,14575.0,4810.0,3420.0,9500.0,14.7,3.0,8.6,14.7,3.0,8.6,3.4,71.8,0.0,0,0.0,0.0,0.0,20.3,11.7,69.3,1033.2,6.7,16.3,0.75,True,False,False,False,False,False,False,False,False,False,False,11.596944444444444,False
2007-03-12,1950.668,134.422,346404.55,8249.0,1403.0,2841.0,12353.0,15.5,3.8,9.3,15.5,2.7,9.1,2.4,65.0,0.0,0,0.0,0.0,0.0,14.8,7.9,180.7,1025.6,1.9,15.5,0.75,True,False,False,False,False,False,False,False,False,False,False,11.656944444444445,False
2007-03-13,1290.144,126.718,346893.07,5480.2,1350.0,3859.0,5323.0,14.0,4.3,9.2,14.0,2.7,8.7,4.5,73.6,0.0,0,0.0,0.0,0.0,36.4,14.9,320.3,1028.4,30.0,10.9,0.81,False,False,True,False,False,False,False,False,False,False,False,11.716944444444444,False
